date;port;water;pulse_duration;volumes;pulses;
2024/02/01 09:10:27;1;5;0.01;;
2024/02/01 09:10:27;2;5;0.01;;
2024/02/01 09:10:27;3;5;0.01;;
2024/02/01 09:10:27;4;5;0.01;;
2024/02/01 09:10:27;5;5;0.009;;
2024/02/01 09:10:27;6;5;0.01;;
2024/02/01 09:10:27;7;5;0.01;;
2024/02/01 09:10:27;8;5;0.01;;
2024/02/01 09:37:36;2;5.0;0.0085;5.4,4.3,4.5,4.8;0.0086,0.008,0.0084,0.0085
2024/02/01 10:02:55;2;5.0;0.0087;4.7,5.7,4.7,4.9;0.0085,0.009,0.0086,0.0087
2024/02/05 11:37:08;2;5.0;0.008;5.8,4.4,5.0;0.0087,0.0075,0.008
2024/02/05 11:44:43;5;5.0;0.0082;5.9,4.4,5.1;0.009,0.0076,0.0082
2024/02/05 17:54:09;3.0;5.0;0.01;4.9;0.01
2024/02/05 18:11:07;2;5.0;0.0081;4.7,5.9,5.1;0.008,0.0085,0.0081
2024/02/06 12:52:10;2;5.0;0.0081;4.9;0.0081
2024/02/06 12:57:22;5;5.0;0.0087;4.7,4.9;0.0082,0.0087
